sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
168,0,1,128,8,360
169,0,1,5,1,360
170,0,1,371,2,360
171,0,1,160,2,360
172,0,1,6,6,360
173,1,1,9,2,360
174,1,1,14,5,360
175,2,1,43,6,360
176,2,1,169,12,360
177,2,1,5,2,360
178,3,1,14,12,360
179,4,1,15,9,420
180,4,1,458,7,420
181,5,1,48,6,420
182,5,1,262,6,420
183,6,1,54,6,600
184,6,1,156,2,600
185,6,1,7,2,600
186,7,1,393,10,600
187,8,1,335,10,600
188,8,1,19,10,600
189,9,1,3,5,660
190,9,1,9,6,660
191,9,1,2,12,660
192,9,1,327,2,660
193,9,1,6,10,660
194,10,1,29,10,660
195,10,1,13,3,660
196,10,1,5,6,660
197,10,1,338,6,660
198,10,1,178,8,660
199,10,1,49,5,660
200,10,1,330,12,660
201,10,1,114,6,660
202,10,1,105,1,660
203,10,1,35,7,660
204,10,1,14,5,660
205,10,1,154,9,660
206,10,1,47,8,660
207,10,1,117,7,660
208,10,1,93,8,660
209,11,1,4,4,660
210,11,1,59,2,660
211,11,1,364,7,660
212,11,1,0,9,660
213,11,1,9,8,660
214,11,1,46,5,660
215,11,1,3,3,660
216,12,1,8,7,720
217,12,1,37,8,720
218,12,1,35,3,720
219,13,1,46,8,720
220,13,1,71,4,720
221,13,1,12,10,720
222,13,1,135,7,720
223,13,1,105,8,720
224,13,1,20,6,720
225,13,1,102,10,720
226,13,1,2,12,720
227,13,1,361,3,720
228,13,1,188,6,720
229,13,1,29,12,720
230,13,1,93,7,720
231,13,1,8,12,720
232,13,1,26,12,720
233,13,1,5,4,720
234,13,1,98,7,720
235,14,1,26,6,720
236,15,1,65,8,780
237,15,1,18,7,780
238,15,1,180,10,780
239,15,1,36,6,780
240,16,1,2,3,780
241,16,1,324,6,780
242,17,1,23,4,840
243,18,1,188,8,840
244,18,1,70,12,840
245,18,1,62,9,840
246,18,1,114,10,840
247,18,1,35,2,840
248,18,1,43,2,840
249,18,1,154,8,840
250,18,1,99,8,840
251,19,1,37,10,840
252,19,1,2,8,840
253,19,1,63,9,840
254,19,1,26,7,840
255,20,1,12,10,900
256,21,1,64,4,960
257,21,1,116,4,960
258,22,1,2,9,960
259,22,1,4,6,960
260,22,1,450,10,960
261,22,1,23,3,960
262,22,1,0,6,960
263,23,1,76,4,960
264,24,1,38,4,960
265,25,1,27,2,1080
266,26,1,183,3,1080
267,26,1,489,8,1080
268,26,1,163,3,1080
269,26,1,15,9,1080
270,26,1,91,5,1080
271,26,1,1,5,1080
272,27,1,418,2,1140
273,27,1,1,10,1140
274,28,1,2,8,1140
275,29,1,307,9,1200
276,29,1,265,8,1200
277,29,1,0,3,1200
278,29,1,186,8,1200
279,29,1,2,9,1200
280,29,1,62,5,1200
281,29,1,29,6,1200
282,29,1,11,12,1200
283,29,1,99,8,1200
284,30,1,160,6,1200
285,30,1,1,5,1200
286,31,1,46,12,1260
287,31,1,23,6,1260
288,31,1,0,6,1260
289,31,1,261,8,1260
290,32,1,313,6,1260
291,32,1,11,2,1260
292,32,1,221,5,1260
293,32,1,44,6,1260
294,32,1,121,8,1260
295,32,1,28,2,1260
296,32,1,227,4,1260
297,33,1,53,4,1260
298,33,1,28,7,1260
299,33,1,48,8,1260
300,34,1,3,6,1320
301,34,1,142,6,1320
302,35,1,462,8,1320
303,36,1,96,1,1320
304,36,1,5,6,1320
305,36,1,23,6,1320
306,36,1,147,9,1320
307,36,1,32,4,1320
308,36,1,235,5,1320
309,36,1,35,8,1320
310,36,1,489,4,1320
311,36,1,0,9,1320
312,36,1,58,9,1320
313,36,1,19,6,1320
314,36,1,10,6,1320
315,36,1,28,9,1320
316,37,1,271,6,1380
317,38,1,129,10,1380
318,38,1,116,5,1380
319,38,1,470,9,1380
320,38,1,295,9,1380
321,38,1,34,6,1380
322,39,1,2,1,1380
323,39,1,18,12,1380
324,39,1,36,7,1380
325,39,1,15,2,1380
326,40,1,52,9,1380
327,40,1,60,9,1380
328,40,1,321,4,1380
329,41,1,48,1,1440
330,41,1,25,4,1440
331,41,1,12,8,1440
332,42,1,53,8,1440
333,42,1,175,7,1440
334,43,1,3,4,1440
335,44,1,8,5,1440
336,45,1,2,8,1500
337,45,1,496,8,1500
338,46,1,22,6,1500
339,47,1,9,8,1500
340,47,1,13,11,1500
341,48,1,55,4,1560
342,48,1,0,8,1560
343,48,1,35,8,1560
344,48,1,36,6,1560
345,48,1,37,3,1560
346,48,1,485,9,1560
347,49,1,135,9,1560
348,50,1,23,7,1560
349,50,1,349,5,1560
350,50,1,1,10,1560
351,50,1,26,6,1560
352,50,1,85,2,1560
353,50,1,166,6,1560
354,50,1,8,8,1560
355,51,1,168,3,1620
356,52,1,139,10,1620
357,52,1,10,7,1620
358,53,1,107,7,1620
359,53,1,28,6,1620
360,53,1,74,9,1620
361,54,1,316,8,1680
362,55,1,94,6,1680
363,55,1,98,9,1680
364,56,1,240,6,1740
365,56,1,45,5,1740
366,57,1,20,1,1740
367,57,1,351,10,1740
368,57,1,14,9,1740
369,57,1,112,9,1740
370,57,1,33,6,1740
371,58,1,72,7,1800
372,59,1,195,8,1800
373,59,1,72,4,1800
374,60,1,22,4,1800
375,60,1,38,10,1800
376,60,1,299,8,1800
377,61,1,93,6,1860
378,62,1,38,8,1860
379,63,1,35,8,1860
380,63,1,6,10,1860
381,63,1,5,7,1860
382,63,1,186,12,1860
383,64,1,194,8,1920
384,64,1,391,10,1920
385,64,1,84,5,1920
386,64,1,12,5,1920
387,64,1,332,9,1920
388,64,1,66,6,1920
389,65,1,44,4,1920
390,65,1,36,2,1920
391,66,1,57,10,1920
392,66,1,478,2,1920
393,66,1,38,8,1920
394,66,1,145,7,1920
395,66,1,6,8,1920
396,66,1,26,5,1920
397,66,1,49,12,1920
398,67,1,6,8,1980
399,68,1,196,6,1980
400,68,1,3,6,1980
401,68,1,67,8,1980
402,69,1,30,7,2040
403,69,1,15,8,2040
404,70,1,74,2,2040
405,70,1,45,12,2040
406,71,1,71,2,2100
407,71,1,3,6,2100
408,72,1,35,9,2100
409,72,1,72,10,2100
410,72,1,15,12,2100
411,72,1,14,8,2100
412,73,1,19,6,2100
413,74,1,242,6,2100
414,75,1,24,2,2100
415,75,1,440,7,2100
416,75,1,29,11,2100
417,75,1,76,8,2100
418,75,1,135,8,2100
419,75,1,10,5,2100
420,75,1,83,5,2100
421,75,1,0,11,2100
422,75,1,16,5,2100
423,75,1,149,10,2100
424,76,1,38,11,2160
425,76,1,63,5,2160
426,76,1,47,12,2160
427,77,1,30,10,2160
428,77,1,6,8,2160
429,77,1,197,3,2160
430,78,1,123,9,2160
431,79,1,108,10,2160
432,79,1,12,8,2160
433,79,1,7,10,2160
434,79,1,18,8,2160
435,80,1,44,8,2220
436,80,1,139,12,2220
437,81,1,11,5,2220
438,81,1,2,6,2220
439,81,1,166,4,2220
440,82,1,2,2,2220
441,82,1,42,8,2220
442,82,1,81,11,2220
443,82,1,5,9,2220
444,82,1,17,3,2220
445,83,1,25,7,2220
446,83,1,41,2,2220
447,83,1,194,4,2220
448,83,1,48,4,2220
449,83,1,7,4,2220
450,83,1,10,6,2220
451,83,1,238,9,2220
452,83,1,428,3,2220
453,83,1,188,7,2220
454,83,1,6,9,2220
455,84,1,52,8,2280
456,84,1,25,7,2280
457,85,1,81,5,2340
458,86,1,7,7,2340
459,86,1,416,6,2340
460,87,1,8,8,2340
461,87,1,59,7,2340
462,88,1,4,6,2340
463,88,1,45,8,2340
464,88,1,66,8,2340
465,88,1,2,10,2340
466,88,1,5,8,2340
467,89,1,186,7,2400
468,90,1,4,4,2400
469,91,1,2,5,2460
470,91,1,46,4,2460
471,91,1,386,1,2460
472,91,1,132,12,2460
473,91,1,111,12,2460
474,92,1,298,8,2460
475,93,1,1,4,2520
476,94,1,26,4,2520
477,94,1,47,10,2520
478,94,1,5,7,2520
479,94,1,6,7,2520
480,95,1,133,5,2520
481,95,1,20,10,2520
482,95,1,102,12,2520
483,95,1,135,2,2520
484,95,1,21,9,2520
485,96,1,20,4,2640
486,96,1,153,4,2640
487,96,1,45,6,2640
488,96,1,26,5,2640
489,96,1,25,5,2640
490,96,1,0,3,2640
491,96,1,3,9,2640
492,96,1,36,10,2640
493,96,1,268,10,2640
494,97,1,31,5,2640
495,97,1,296,6,2640
496,97,1,2,4,2640
497,98,1,132,7,2640
498,98,1,391,5,2640
499,99,1,496,8,2640
500,99,1,17,1,2640
501,99,1,52,7,2640
502,99,1,25,7,2640
503,100,1,34,8,2700
504,100,1,29,4,2700
505,101,1,8,7,2700
506,101,1,46,9,2700
507,102,1,135,7,2700
508,103,1,45,2,2700
509,103,1,38,7,2700
510,104,1,271,7,2700
511,105,1,160,6,2760
512,105,1,1,2,2760
513,105,1,3,5,2760
514,105,1,19,2,2760
515,106,1,53,10,2820
516,106,1,397,6,2820
517,106,1,3,11,2820
518,107,1,3,6,2820
519,107,1,315,1,2820
520,108,1,40,9,2820
521,108,1,32,7,2820
522,108,1,129,6,2820
523,108,1,246,6,2820
524,108,1,23,4,2820
525,108,1,43,12,2820
526,109,1,383,3,2820
527,109,1,66,8,2820
528,109,1,73,4,2820
529,109,1,24,7,2820
530,109,1,169,7,2820
531,109,1,1,1,2820
532,109,1,10,5,2820
533,110,1,6,3,2820
534,110,1,33,7,2820
535,110,1,143,10,2820
536,110,1,2,4,2820
537,111,1,37,2,2880
538,111,1,22,6,2880
539,111,1,47,8,2880
540,111,1,18,4,2880
541,111,1,19,6,2880
542,111,1,4,9,2880
543,111,1,48,3,2880
544,111,1,30,12,2880
545,111,1,15,7,2880
546,111,1,89,5,2880
547,111,1,465,7,2880
548,111,1,88,2,2880
549,111,1,38,12,2880
550,111,1,14,10,2880
551,111,1,287,3,2880
552,111,1,192,10,2880
553,111,1,0,10,2880
554,112,1,1,5,2940
555,113,1,76,8,2940
556,113,1,42,8,2940
557,113,1,3,6,2940
558,113,1,367,4,2940
559,114,1,60,5,2940
560,114,1,351,11,2940
561,115,1,38,4,2940
562,115,1,310,8,2940
563,115,1,74,2,2940
564,115,1,181,6,2940
565,115,1,164,6,2940
566,115,1,17,12,2940
567,115,1,4,12,2940
568,115,1,172,10,2940
569,115,1,21,9,2940
570,115,1,8,8,2940
571,115,1,11,6,2940
572,115,1,1,7,2940
573,115,1,315,4,2940
574,115,1,27,7,2940
575,115,1,19,9,2940
576,115,1,52,4,2940
577,115,1,37,9,2940
578,116,1,3,1,3000
579,116,1,31,6,3000
580,116,1,33,8,3000
581,116,1,14,5,3000
582,117,1,7,10,3060
583,117,1,43,12,3060
584,117,1,21,4,3060
585,117,1,14,6,3060
586,118,1,41,8,3060
587,118,1,286,10,3060
588,118,1,387,11,3060
589,118,1,72,2,3060
590,118,1,413,8,3060
591,118,1,4,6,3060
592,119,1,61,9,3060
593,120,1,3,9,3060
594,121,1,310,10,3060
595,122,1,292,10,3060
596,122,1,68,8,3060
597,123,1,14,11,3060
598,123,1,22,10,3060
599,123,1,435,4,3060
600,123,1,173,7,3060
601,124,1,70,4,3120
602,124,1,9,5,3120
603,124,1,479,5,3120
604,124,1,4,8,3120
605,124,1,181,5,3120
606,124,1,11,9,3120
607,124,1,59,8,3120
608,124,1,172,4,3120
609,124,1,37,6,3120
610,124,1,20,5,3120
611,124,1,40,11,3120
612,125,1,8,2,3120
613,126,1,43,3,3120
614,127,1,422,4,3120
615,127,1,29,7,3120
616,128,1,365,7,3180
617,128,1,1,10,3180
618,128,1,475,6,3180
619,129,1,1,7,3180
620,129,1,14,10,3180
621,129,1,96,5,3180
622,130,1,5,4,3180
623,130,1,8,6,3180
624,131,1,119,11,3240
625,132,1,25,10,3240
626,132,1,366,6,3240
627,132,1,40,6,3240
628,133,1,85,4,3240
629,133,1,104,3,3240
630,133,1,212,4,3240
631,134,1,90,11,3300
632,134,1,33,5,3300
633,134,1,144,6,3300
634,134,1,101,7,3300
635,134,1,25,9,3300
636,135,1,13,7,3300
637,136,1,8,9,3300
638,136,1,128,10,3300
639,137,1,37,7,3360
640,138,1,0,4,3360
641,138,1,3,7,3360
642,139,1,34,9,3420
643,139,1,37,8,3420
644,139,1,0,4,3420
645,140,1,116,7,3420
646,140,1,119,10,3420
647,140,1,31,4,3420
648,141,1,24,5,3480
649,142,1,146,10,3480
650,142,1,1,6,3480
651,142,1,6,4,3480
652,143,1,21,7,3480
653,143,1,2,5,3480
654,143,1,6,8,3480
655,144,1,4,3,3540
656,145,1,258,4,3540
657,146,1,158,4,3540
658,147,1,92,7,3540
659,147,1,170,11,3540
660,147,1,16,2,3540
661,147,1,2,12,3540
662,147,1,315,6,3540
663,148,1,10,9,3600
664,148,1,19,5,3600
665,149,1,10,10,3600
666,149,1,38,2,3600
667,149,1,196,6,3600
668,149,1,19,8,3600
669,149,1,94,8,3600
670,149,1,42,7,3600
671,149,1,177,11,3600
672,149,1,36,3,3600
673,149,1,41,12,3600
674,149,1,16,8,3600
675,149,1,322,4,3600
676,150,1,38,7,3600
677,151,1,80,6,3600
678,151,1,93,4,3600
679,152,1,0,6,3660
680,152,1,19,12,3660
681,152,1,12,8,3660
682,153,1,33,7,3720
683,154,1,107,12,3720
684,155,1,3,4,3780
685,156,1,35,6,3780
686,156,1,33,4,3780
687,156,1,47,7,3780
688,156,1,1,10,3780
689,157,1,43,3,3840
690,157,1,305,4,3840
691,157,1,195,6,3840
692,158,1,183,8,3840
693,158,1,27,5,3840
694,158,1,5,8,3840
695,158,1,18,7,3840
696,158,1,119,6,3840
697,158,1,34,5,3840
698,158,1,99,8,3840
699,158,1,9,6,3840
700,159,1,25,9,3840
701,159,1,172,6,3840
702,160,1,47,9,3840
703,160,1,43,10,3840
704,160,1,46,8,3840
705,160,1,67,12,3840
706,161,1,19,10,3840
707,161,1,4,6,3840
708,162,1,17,7,3840
709,163,1,83,8,3840
710,163,1,5,2,3840
711,163,1,25,8,3840
712,164,1,46,6,3540
713,164,1,164,10,3540
714,165,1,68,8,3600
715,165,1,32,10,3600
716,166,1,16,6,3600
717,167,1,190,3,3600
718,167,1,265,8,3600
719,167,1,45,8,3600
720,168,1,46,6,3600
721,168,1,170,10,3600
722,168,1,18,6,3600
723,168,1,28,4,3600
724,168,1,128,6,3600
725,168,1,40,5,3600
726,168,1,269,2,3600
727,168,1,8,9,3600
728,168,1,7,10,3600
729,168,1,61,4,3600
730,169,1,2,6,3600
731,170,1,274,7,3600
732,170,1,115,4,3600
733,170,1,5,4,3600
734,171,1,25,9,3660
735,171,1,38,10,3660
736,171,1,108,2,3660
737,171,1,28,7,3660
738,171,1,39,7,3660
739,171,1,492,7,3660
740,171,1,33,8,3660
741,172,1,293,8,3660
742,173,1,124,8,3660
743,174,1,135,8,3660
744,175,1,13,10,3720
745,176,1,169,5,3720
746,176,1,55,8,3720
747,177,1,23,2,3720
748,177,1,126,4,3720
749,177,1,364,8,3720
750,177,1,463,9,3720
751,177,1,29,7,3720
752,178,1,33,8,3780
753,179,1,108,8,3780
754,179,1,25,5,3780
755,179,1,180,9,3780
756,179,1,54,6,3780
757,179,1,76,3,3780
758,179,1,55,12,3780
759,179,1,29,8,3780
760,179,1,5,9,3780
761,180,1,280,4,3780
762,180,1,12,8,3780
763,181,1,78,3,3840
764,182,1,14,10,3840
765,183,1,4,5,3900
766,183,1,39,9,3900
767,183,1,18,10,3900
768,183,1,261,10,3900
769,183,1,149,9,3900
770,183,1,37,5,3900
771,183,1,5,4,3900
772,183,1,78,7,3900
773,184,1,48,10,3900
774,185,1,56,2,3900
775,185,1,45,10,3900
776,185,1,1,2,3900
777,186,1,14,3,3960
778,186,1,115,9,3960
779,187,1,1,10,3960
780,187,1,11,5,3960
781,187,1,7,10,3960
782,187,1,3,10,3960
783,187,1,17,6,3960
784,187,1,114,6,3960
785,187,1,45,6,3960
786,187,1,37,7,3960
787,187,1,27,6,3960
788,187,1,185,11,3960
789,187,1,23,6,3960
790,188,1,17,8,3960
791,188,1,22,8,3960
792,189,1,1,7,3960
793,189,1,22,6,3960
794,189,1,31,7,3960
795,189,1,0,7,3960
796,189,1,8,8,3960
797,190,1,1,9,4020
798,190,1,168,4,4020
799,190,1,107,2,4020
800,190,1,27,6,4020
801,191,1,45,12,4020
802,191,1,43,2,4020
803,191,1,6,8,4020
804,191,1,62,6,4020
805,192,1,9,2,4020
806,193,1,31,6,4020
807,193,1,37,5,4020
808,193,1,159,8,4020
809,194,1,103,8,4020
810,194,1,226,10,4020
811,194,1,35,6,4020
812,195,1,2,7,4080
813,196,1,105,4,4080
814,196,1,1,10,4080
815,196,1,35,7,4080
816,196,1,178,6,4080
817,196,1,346,5,4080
818,196,1,24,6,4080
819,196,1,46,4,4080
820,196,1,16,9,4080
821,197,1,52,10,4080
822,197,1,1,8,4080
823,197,1,45,10,4080
824,198,1,82,3,4140
825,198,1,13,2,4140
826,198,1,29,3,4140
827,198,1,245,10,4140
828,198,1,59,11,4140
829,198,1,64,6,4140
830,198,1,17,4,4140
831,198,1,19,2,4140
832,199,1,15,10,4200
833,200,1,96,7,4200
834,200,1,26,7,4200
835,200,1,156,7,4200
836,200,1,41,4,4200
837,200,1,35,9,4200
838,201,1,47,3,4200
839,202,1,28,4,4200
840,202,1,13,4,4200
841,203,1,146,9,4200
842,203,1,2,7,4200
843,203,1,9,3,4200
844,203,1,52,8,4200
845,204,1,20,9,4260
846,204,1,32,8,4260
847,204,1,192,8,4260
848,204,1,488,6,4260
849,204,1,0,8,4260
850,204,1,4,9,4260
851,204,1,37,5,4260
852,204,1,22,4,4260
853,204,1,2,6,4260
854,204,1,28,9,4260
855,204,1,10,10,4260
856,205,1,127,3,4260
857,205,1,14,6,4260
858,206,1,48,2,4260
859,206,1,154,11,4260
860,206,1,4,3,4260
861,206,1,82,12,4260
862,207,1,67,7,4260
863,207,1,58,9,4260
864,207,1,8,2,4260
865,208,1,112,12,4320
866,209,1,62,8,4320
867,209,1,204,8,4320
868,210,1,24,9,4320
869,210,1,113,9,4320
870,210,1,13,10,4320
871,211,1,360,10,4380
872,211,1,48,4,4380
873,212,1,173,4,4380
874,212,1,34,6,4380
875,213,1,13,9,4380
876,213,1,97,6,4380
877,214,1,104,8,4380
878,214,1,1,2,4380
879,215,1,1,7,4440
880,215,1,125,6,4440
881,215,1,96,11,4440
882,215,1,115,6,4440
883,215,1,42,6,4440
884,215,1,44,6,4440
885,215,1,16,8,4440
886,215,1,26,7,4440
887,216,1,26,4,4440
888,216,1,9,8,4440
889,216,1,21,10,4440
890,217,1,123,10,4440
891,218,1,98,2,4440
892,218,1,155,6,4440
893,218,1,44,8,4440
894,218,1,58,4,4440
895,219,1,41,2,4440
896,219,1,40,9,4440
897,220,1,14,12,4440
898,221,1,159,10,4500
899,221,1,22,4,4500
900,221,1,151,12,4500
901,221,1,32,10,4500
902,221,1,19,3,4500
903,221,1,0,11,4500
904,221,1,115,10,4500
905,221,1,251,6,4500
906,222,1,310,7,4500
907,223,1,20,11,4560
908,223,1,160,4,4560
909,223,1,107,5,4560
910,223,1,142,9,4560
911,223,1,116,8,4560
912,223,1,441,12,4560
913,223,1,97,1,4560
914,223,1,36,8,4560
915,223,1,17,2,4560
916,223,1,48,8,4560
917,223,1,9,7,4560
918,224,1,14,9,4560
919,225,1,112,7,4560
920,225,1,6,8,4560
921,226,1,1,6,4620
922,226,1,34,12,4620
923,226,1,11,7,4620
924,226,1,0,11,4620
925,226,1,253,6,4620
926,227,1,49,4,4620
927,228,1,327,4,4620
928,229,1,253,5,4620
929,230,1,44,10,4680
930,231,1,23,4,4740
931,232,1,92,10,4800
932,232,1,207,3,4800
933,232,1,13,7,4800
934,233,1,3,8,4800
935,233,1,62,6,4800
936,234,1,17,6,4800
937,235,1,42,10,4800
938,235,1,102,4,4800
939,235,1,45,5,4800
940,236,1,41,7,4860
941,236,1,305,7,4860
942,236,1,3,6,4860
943,236,1,147,6,4860
944,236,1,22,6,4860
945,237,1,27,10,4860
946,237,1,169,6,4860
947,237,1,49,4,4860
948,238,1,385,10,4920
949,238,1,37,10,4920
950,238,1,185,6,4920
951,239,1,1,8,4920
952,239,1,2,7,4920
953,239,1,422,4,4920
954,239,1,0,5,4920
955,240,1,301,4,4920
956,240,1,148,7,4920
957,240,1,37,6,4920
958,241,1,4,4,5040
959,241,1,1,8,5040
960,242,1,3,4,5040
961,242,1,89,7,5040
962,242,1,388,5,5040
963,243,1,127,4,5040
964,244,1,14,8,5100
965,245,1,44,4,5100
966,245,1,414,10,5100
967,245,1,9,4,5100
968,245,1,64,2,5100
969,245,1,33,4,5100
970,245,1,338,4,5100
971,245,1,0,8,5100
972,246,1,36,9,5100
973,247,1,183,9,5100
974,248,1,166,6,5160
975,248,1,233,8,5160
976,248,1,142,6,5160
977,248,1,2,4,5160
978,248,1,49,1,5160
979,249,1,134,7,5220
980,249,1,110,10,5220
981,249,1,86,8,5220
982,249,1,48,6,5220
983,249,1,65,3,5220
984,249,1,35,2,5220
985,249,1,6,5,5220
986,250,1,174,6,5220
987,251,1,111,6,5220
988,251,1,137,10,5220
989,251,1,188,12,5220
990,251,1,31,7,5220
991,252,1,10,9,5220
992,252,1,26,8,5220
993,252,1,129,3,5220
994,252,1,38,8,5220
995,252,1,5,8,5220
996,253,1,38,12,5220
997,253,1,12,6,5220
998,254,1,117,8,5220
999,255,1,6,8,5280
1000,255,1,5,4,5280
1001,255,1,45,4,5280
1002,256,1,31,5,5340
1003,256,1,287,8,5340
1004,256,1,21,12,5340
1005,256,1,8,8,5340
1006,257,1,58,8,5340
1007,257,1,35,7,5340
1008,258,1,23,6,5340
1009,259,1,449,4,5400
1010,259,1,86,6,5400
1011,259,1,153,8,5400
1012,259,1,111,11,5400
1013,260,1,7,6,5400
1014,261,1,35,5,5400
1015,261,1,12,9,5400
1016,262,1,53,9,5460
1017,262,1,170,8,5460
1018,262,1,10,8,5460
1019,263,1,32,8,5460
1020,263,1,1,1,5460
1021,264,1,149,5,5520
1022,264,1,15,2,5520
1023,264,1,94,8,5520
1024,264,1,20,9,5520
1025,264,1,22,6,5520
1026,265,1,36,6,5520
1027,266,1,22,2,5520
1028,267,1,259,3,5520
1029,267,1,63,6,5520
1030,267,1,1,3,5520
1031,267,1,315,12,5520
1032,267,1,16,6,5520
1033,267,1,56,6,5520
1034,267,1,34,5,5520
1035,267,1,118,4,5520
1036,268,1,8,12,5580
1037,269,1,1,7,5580
1038,269,1,227,9,5580
1039,269,1,4,4,5580
1040,269,1,0,5,5580
1041,269,1,218,4,5580
1042,269,1,121,2,5580
1043,270,1,15,1,5640
1044,270,1,172,10,5640
1045,271,1,116,4,5640
1046,272,1,16,12,5640
1047,272,1,0,5,5640
1048,272,1,291,12,5640
1049,273,1,1,8,5700
1050,273,1,49,4,5700
1051,273,1,46,4,5700
1052,273,1,27,9,5700
1053,273,1,11,6,5700
1054,273,1,24,5,5700
1055,273,1,98,12,5700
1056,273,1,9,6,5700
1057,274,1,143,7,5700
1058,275,1,16,8,5700
1059,276,1,99,1,5760
1060,276,1,257,4,5760
1061,276,1,22,6,5760
1062,276,1,40,6,5760
1063,277,1,32,9,5760
1064,277,1,137,8,5760
1065,277,1,44,8,5760
1066,277,1,2,7,5760
1067,278,1,41,8,5760
1068,279,1,189,5,5760
1069,279,1,70,1,5760
1070,279,1,22,4,5760
1071,279,1,13,8,5760
1072,279,1,14,6,5760
1073,280,1,229,10,5820
1074,280,1,48,8,5820
